Grid_ID,经纬度,City,POP_PE,POP_FL,EMP
968240,"113.617001,22.867534",东莞,748,320,800
969855,"113.617001,22.872034",东莞,1295,1517,1250
968241,"113.621889,22.867534",东莞,3789,1443,1593
969856,"113.621889,22.872034",东莞,1137,321,679
958552,"113.626778,22.840536",东莞,3118,1058,1905
960167,"113.626778,22.845036",东莞,957,614,760
961782,"113.626778,22.849536",东莞,0,0,0
963397,"113.626778,22.854035",东莞,0,0,0
958553,"113.631666,22.840536",东莞,264,16,188
960168,"113.631666,22.845036",东莞,13,12,13
958554,"113.636554,22.840536",东莞,0,0,0
960169,"113.636554,22.845036",东莞,4938,1350,3049
961783,"113.631666,22.849536",东莞,5713,3898,3635
963398,"113.631666,22.854035",东莞,1086,264,1057
961784,"113.636554,22.849536",东莞,289,103,403
963399,"113.636554,22.854035",东莞,5779,2465,2888
965012,"113.626778,22.858535",东莞,0,0,0
966627,"113.626778,22.863035",东莞,288,168,89
968242,"113.626778,22.867534",东莞,161,38,61
969857,"113.626778,22.872034",东莞,0,0,0
965013,"113.631666,22.858535",东莞,250,67,246
966628,"113.631666,22.863035",东莞,0,0,0
965014,"113.636554,22.858535",东莞,1444,415,792
966629,"113.636554,22.863035",东莞,502,407,103
968243,"113.631666,22.867534",东莞,0,0,0
969858,"113.631666,22.872034",东莞,0,0,0
968244,"113.636554,22.867534",东莞,1393,782,604
969859,"113.636554,22.872034",东莞,0,0,0
971462,"113.577895,22.876533",东莞,0,0,0
973077,"113.577895,22.881033",东莞,0,0,0
974692,"113.577895,22.885533",东莞,368,575,139
971463,"113.582784,22.876533",东莞,0,0,0
971464,"113.587672,22.876533",东莞,5,8,171
973078,"113.582784,22.881033",东莞,931,834,271
974693,"113.582784,22.885533",东莞,0,0,0
973079,"113.587672,22.881033",东莞,13,74,121
974694,"113.587672,22.885533",东莞,296,309,169
976307,"113.577895,22.890032",东莞,0,0,0
977922,"113.577895,22.894532",东莞,0,0,0
979537,"113.577895,22.899032",东莞,0,0,0
981152,"113.577895,22.903531",东莞,0,0,0
976308,"113.582784,22.890032",东莞,0,0,0
977923,"113.582784,22.894532",东莞,0,0,0
976309,"113.587672,22.890032",东莞,0,0,0
977924,"113.587672,22.894532",东莞,1296,2699,885
979538,"113.582784,22.899032",东莞,0,0,0
981153,"113.582784,22.903531",东莞,0,0,0
979539,"113.587672,22.899032",东莞,0,0,0
981154,"113.587672,22.903531",东莞,0,0,0
971465,"113.59256,22.876533",东莞,0,0,0
971466,"113.597448,22.876533",东莞,0,0,0
973080,"113.59256,22.881033",东莞,0,0,0
974695,"113.59256,22.885533",东莞,0,0,0
973081,"113.597448,22.881033",东莞,0,0,0
974696,"113.597448,22.885533",东莞,0,0,0
971467,"113.602336,22.876533",东莞,0,0,0
973082,"113.602336,22.881033",东莞,1549,2664,637
974697,"113.602336,22.885533",东莞,545,1100,230
976310,"113.59256,22.890032",东莞,3191,1244,981
977925,"113.59256,22.894532",东莞,420,308,317
976311,"113.597448,22.890032",东莞,749,203,180
977926,"113.597448,22.894532",东莞,0,0,0
979540,"113.59256,22.899032",东莞,2200,5258,1456
981155,"113.59256,22.903531",东莞,0,0,0
979541,"113.597448,22.899032",东莞,0,0,0
981156,"113.597448,22.903531",东莞,0,0,0
976312,"113.602336,22.890032",东莞,7253,1096,1587
977927,"113.602336,22.894532",东莞,0,0,0
979542,"113.602336,22.899032",东莞,0,0,0
981157,"113.602336,22.903531",东莞,315,40,240
982767,"113.577895,22.908031",东莞,0,0,0
984382,"113.577895,22.912531",东莞,0,0,0
985997,"113.577895,22.91703",东莞,0,0,0
982768,"113.582784,22.908031",东莞,0,0,0
984383,"113.582784,22.912531",东莞,0,0,0
982769,"113.587672,22.908031",东莞,0,0,0
984384,"113.587672,22.912531",东莞,0,0,0
985998,"113.582784,22.91703",东莞,0,0,0
